Category,Focus Product,CB Version,Accronym,Naming Convention SDDC Roles Based Training slide,Official Course Name (versions separated by slash),GA,Duration [h],Cost [USD],Delivery Mode,Delivery Location,Course URL,Acronym (repeat),Cert ID 1,Cert ID 2,Cert ID 3,Cert ID 4,Cert ID 5,Cert ID 6
EUC,ThinApp,7.0,ThinApp AV,Application Virtualization with VMware ThinApp,Application Virtualization with VMware ThinApp [V5.0],yes,8.0,400,Instructor Lead,classroom,http://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=50154,ThinApp AV,50154,,,,,
EUC,Horizon Mirage,7.0,HM5 ICM,"Mirage Install, Configure and Manage","VMware Mirage: Install, Configure, Manage [V5.0]",yes,24.0,1100,Instructor Lead,classroom,https://mylearn.vmware.com/mgrreg/courses.cfm?ui=www_edu&a=one&id_subject=58495,HM5 ICM,58495,,,,,
EUC,AirWatch,7.0,AW DMP,Airwatch Mobility Device Mangement Professional,Airwatch Mobility Device Mangement Professional,yes,11.3,,Instructor Lead,classroom,,AW DMP,,,,,,
EUC,AirWatch,7.0,AW CMP,Airwatch Mobility Content Mangement Professional,Airwatch Mobility Content Mangement Professional,yes,11.3,,Instructor Lead,classroom,,AW CMP,,,,,,
SDDC,Core,6.0,HOL-vCloud,Hands-on Lab vCloud,HOL-vCloud,yes,15.0,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50229&ui=sso,HOL-vCloud,50229,,,,,
EUC,Horizon,6.0,HOL-EUC,Hands-on Lab EUC,HOL-EUC,yes,31.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50230&ui=sso,HOL-EUC,50230,,,,,
SDDC,SRM,6.0,HOL-BC,Hands-on Lab Business Critical Applications,HOL-BC,yes,7.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50237&ui=sso,HOL-BC,50237,,,,,
SDDC,VSAN,6.0,HOL-SDS,Hands-on Lab VSAN,HOL-SDS,yes,30.0,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50236&ui=sso,HOL-SDS,50236,,,,,
SDDC,Core,6.0,HOL-vSOM,Hands-on Lab vSOM,HOL-vSOM,yes,1.3,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=45646&ui=sso,HOL-vSOM,50235,,,,,
SP,vCA,6.0,HOL-Hybrid,Hands-on Lab Hybrid,HOL-Hybrid,yes,22.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50234&ui=sso,HOL-Hybrid,50234,,,,,
SDDC,vROps,6.0,HOL-MO,Hands-on Lab Management Operations,HOL-MO,yes,22.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50233&ui=sso,HOL-MO,50233,,,,,
SDDC,"vRA, vRB, vRO",6.0,HOL-MA,Hands-on Lab Management Automation,HOL-MA,yes,22.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50232&ui=sso,HOL-MA,50232,,,,,
SDDC,NSX,6.0,HOL-NV,Hands-on Lab Network Virtualization,HOL-NV,yes,67.5,0,self-paced lab,online,https://mylearn.vmware.com/mgrReg/plan.cfm?plan=50231&ui=sso,HOL-NV,50231,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Comment,,Cost indicative tier 1 list pricing,,,,,,,,,,,,,
